"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HUR","MEN","PC_LF","A","2018",3.741667,
"IRL","HUR","MEN","PC_LF","A","2018",5.816667,
"POL","HUR","MEN","PC_LF","A","2018",3.858333,
"KOR","HUR","MEN","PC_LF","A","2018",3.941667,
"BEL","HUR","MEN","PC_LF","A","2018",6.3,
"GBR","HUR","MEN","PC_LF","A","2018",4.138789,
"DNK","HUR","MEN","PC_LF","A","2018",4.9,
"CZE","HUR","MEN","PC_LF","A","2018",1.791667,
"SVN","HUR","MEN","PC_LF","A","2018",4.625,
"USA","HUR","MEN","PC_LF","A","2018",3.95,
"ITA","HUR","MEN","PC_LF","A","2018",9.833333,"P"
"AUS","HUR","MEN","PC_LF","A","2018",5.281892,
"CHE","HUR","MEN","PC_LF","A","2018",4.368399,
"SVK","HUR","MEN","PC_LF","A","2018",6.141667,
"NOR","HUR","MEN","PC_LF","A","2018",4.091667,
"ISR","HUR","MEN","PC_LF","A","2018",4.041667,
"EA19","HUR","MEN","PC_LF","A","2018",7.866667,
"HUN","HUR","MEN","PC_LF","A","2018",3.483333,
"FRA","HUR","MEN","PC_LF","A","2018",8.975,
"COL","HUR","MEN","PC_LF","A","2018",7.463333,
"GRC","HUR","MEN","PC_LF","A","2018",15.38333,
"OECD","HUR","MEN","PC_LF","A","2018",5.306508,"E"
"LTU","HUR","MEN","PC_LF","A","2018",6.925,
"CAN","HUR","MEN","PC_LF","A","2018",6.183333,
"SWE","HUR","MEN","PC_LF","A","2018",6.45,
"EST","HUR","MEN","PC_LF","A","2018",5.566667,
"PRT","HUR","MEN","PC_LF","A","2018",6.816667,"P"
"FIN","HUR","MEN","PC_LF","A","2018",7.716667,
"LVA","HUR","MEN","PC_LF","A","2018",8.4,
"NZL","HUR","MEN","PC_LF","A","2018",4.175,
"LUX","HUR","MEN","PC_LF","A","2018",5.316667,
"JPN","HUR","MEN","PC_LF","A","2018",2.583333,
"TUR","HUR","MEN","PC_LF","A","2018",9.587976,"E"
"DEU","HUR","MEN","PC_LF","A","2018",3.8,
"CHL","HUR","MEN","PC_LF","A","2018",6.72988,
"MEX","HUR","MEN","PC_LF","A","2018",3.245146,
"ISL","HUR","MEN","PC_LF","A","2018",3.158333,
"ESP","HUR","MEN","PC_LF","A","2018",13.74167,
"AUT","HUR","MEN","PC_LF","A","2018",5.05,
"EU27_2020","HUR","MEN","PC_LF","A","2018",7.025,
"G-7","HUR","MEN","PC_LF","A","2018",4.607903,"E"
